price;rooms;size;bathrooms;living_areas;bedrooms;type_of_property;city;region
null;4;200;3;5;null;house;La Marsa;La Marsa
1500000.0;7;586;4;10;null;house;Ariana Ville;El Menzah 5
1750000.0;12;761;4;12;null;house;El Menzah;Mutuelle Ville
180000.0;3;150;1;null;null;house;null;Bir Bouregba
680000.0;4;200;null;5;null;house;La Marsa;Ain Zaghouan Nord
570000.0;5;240;2;null;4;house;La Marsa;Ain Zaghouan Nord
550000.0;null;null;null;null;null;null;null;Ras Jebel
380000.0;3;257;1;null;null;house;Hammamet;Hammamet
250000.0;6;294;null;3;null;house;Sousse Riadh;Sousse Riadh
200000.0;3;708;1;4;null;house;Hammamet;Hammamet Sud
340000.0;4;254;1;null;null;apartment;Boumhel;Boumhel 
200000.0;4;200;2;null;null;house;Sousse Riadh;Sousse Riadh
490000.0;4;555;1;null;null;house;La Soukra;Sidi Soufiene
450000.0;3;800;2;3;null;house;Hammamet;Hammamet
255000.0;null;300;2;1;3;house;Sousse Riadh;Sousse Riadh
6500000.0;null;790;1;4;3;house;Carthage;Carthage
920000.0;13;530;5;null;null;house;Sousse Jaouhara;Sahloul
1200000.0;12;636;6;null;null;house;Sousse Ville;Sousse Ville
320000.0;5;200;2;null;null;house;Sousse Ville;Sahloul
910000.0;null;607;2;5;3;house;El Omrane;El Omrane
1200000.0;15;480;4;null;null;house;Hammam Sousse;El Kantaoui
null;4;130;2;null;null;house;La Marsa;Cite Du Stade
880000.0;4;594;3;null;null;house;Hammamet;Hammamet Sud
450000.0;4;300;1;null;null;apartment;Ariana Ville;Ariana
null;3;100;2;4;null;apartment;Midoun;Midoune
165000.0;null;130;1;6;5;house;Hammam Sousse;Hammam Sousse
890000.0;5;243;4;null;null;house;La Marsa;Cité des Juges
490000.0;4;326;2;null;3;house;La Marsa;Bhar Lazreg
null;null;null;null;null;null;null;Ariana Ville;Ariana
760000.0;null;5330;3;9;5;house;Houmt Souk;Sidi Jmour
null;4;220;1;null;null;house;Mohamadia;Cite Tnich
139900.0;5;200;1;null;null;house;Djerba;Djerba
null;4;472;2;null;3;house;Raoued;Cite el Ghazela
380000.0;8;150;3;null;null;house;Djerba;Djerba
300000.0;4;130;1;null;null;house;El Kabaria;Ibn Sina
null;null;163;1;3;1;house;Hammamet;Hammamet
365000.0;null;300;2;4;3;house;Ariana Ville;Riadh al Andalous
350000.0;null;154;2;null;4;house;Bizerte Nord;Bizerte
260000.0;4;224;2;null;null;house;Hammamet;Hammamet
400000.0;8;1040;3;null;null;house;Midoun;Midoune
500000.0;7;626;2;null;3;house;Midoun;Midoune
430000.0;5;336;2;6;null;house;La Marsa;Sidi Daoued
550000.0;null;143;3;4;4;house;La Marsa;Sidi Daoued
235000.0;4;156;1;null;null;house;Hammamet;Hammamet
325000.0;3;90;2;null;null;house;Hammamet;Hammamet
1700000.0;4;235;4;4;null;apartment;La Marsa;La Marsa
690000.0;4;280;3;null;3;house;La Marsa;Ain Zaghouan Nord
850000.0;4;140;3;null;null;house;La Marsa;La Marsa
1300000.0;3;495;3;4;null;house;Sousse Ville;Sahloul
1300000.0;5;430;2;null;null;apartment;La Soukra;La Soukra
470000.0;9;101;2;null;7;house;La Marsa;Bhar Lazreg
2600000.0;5;400;4;7;null;house;La Marsa;La Marsa
980000.0;null;400;2;6;5;house;Sousse Ville;Sahloul
null;5;96;1;null;null;house;Bizerte Nord;Bizerte Centre Ville
366500.0;13;210;4;null;null;house;Cite El Khadra;Cite El Khadra
720000.0;5;242;3;null;null;house;La Soukra;La Soukra
null;6;309;1;null;null;house;Bizerte Nord;Bizerte
null;2;600;1;3;null;house;Hammamet;Hammamet
null;3;219;1;3;null;apartment;Raoued;Cite des Juges
520000.0;4;430;2;null;3;apartment;Bizerte Nord;Bizerte
260000.0;null;360;null;4;9;house;Sousse Riadh;Sousse Riadh
450000.0;4;305;3;7;null;house;Bizerte Nord;Cité du Lac
240000.0;3;200;1;null;null;house;Hammamet;Hammamet
850000.0;8;360;null;null;null;house;Bizerte Nord;Bizerte
350000.0;4;170;1;null;2;house;Bizerte Nord;Bizerte
null;null;120;4;4;8;house;null;Aïn Draham
397000.0;3;408;1;4;null;house;null;Soliman
310000.0;null;143;2;3;2;house;La Soukra;La Soukra
180000.0;null;230;2;3;2;house;Hammam Sousse;Hammam Sousse
700000.0;null;1785;2;null;4;house;Midoun;Zone touristique
270000.0;3;311;3;null;3;house;Sidi Thabet;Sidi Thabet
450000.0;3;170;1;null;null;house;Hammamet;Hammamet
2000000.0;6;900;4;8;null;house;El Menzah;Mutuelle Ville
140000.0;10;1177;2;null;null;house;Hammamet;Hammamet
880000.0;5;360;1;null;null;house;Akouda;Chott Meriem
590000.0;null;400;3;null;3;house;Hammamet;Hammamet Sud
799000.0;null;null;null;null;null;null;Raoued;Raoued
null;5;548;2;null;null;house;La Marsa;La Marsa
850000.0;6;280;4;null;null;house;Sousse Ville;Sousse Ville
190000.0;3;65;1;null;2;house;Bizerte Nord;Bizerte
750000.0;9;568;3;null;null;house;Raoued;Cite el Ghazela
570000.0;null;300;null;9;5;house;Djerba;Djerba
320000.0;6;220;2;null;null;house;Boumhel;Boumhel 
790000.0;null;529;null;4;3;house;Hammamet;Hammamet
560000.0;null;117;3;4;3;Apartment;Hammamet;Hammamet Nord
null;3;120;2;1;null;house;null;Sijoumi
null;4;250;1;null;null;house;Tunis;Sidi Bahri
220000.0;4;190;1;null;null;house;Raoued;Cite El Wafa
680000.0;5;477;null;6;null;house;Sousse Ville;Sahloul
170000.0;1;40;1;2;null;house;Hammamet;Hammamet Nord
435000.0;6;190;3;null;5;house;Sousse Ville;Sousse Medina
null;3;100;1;null;null;apartment;La Manouba;La Manouba
1100000.0;null;500;null;10;6;house;Le Kram;Les Jardins de Carthage
150000.0;2;260;1;1;null;house;null;Kalaa Kebira
430000.0;null;160;2;4;3;apartment;Midoun;Midoune
260000.0;4;200;2;null;null;house;Raoued;Ariana Essoghra
140000.0;4;106;2;6;null;house;Mohamadia;Mohamadia
730000.0;null;380;3;13;13;house;El Ouardia;El Ouardia
1100000.0;4;544;2;null;null;house;Le Bardo;Le Bardo
80000.0;null;103;1;2;2;house;null;Kelibia
129000.0;null;120;1;4;4;house;null;Kelibia
360000.0;5;300;2;null;null;house;Raoued;Cite des Juges
660000.0;4;240;4;5;null;house;Boumhel ;Cite El Bassatine Ancien 
370000.0;3;200;2;null;null;house;Nabeul;Nabeul
null;4;193;2;null;null;house;La Marsa;La Marsa
545000.0;4;1250;2;null;null;house;null;Bou Argoub
120000.0;3;150;2;4;null;house;Boumhel;Boumhel 
650000.0;9;500;3;15;null;house;Hammam Chatt;Borj Cedria
null;2;100;1;3;null;house;Hammamet;Hammamet
